datetime,day_type,line,weather,event_name,event_passengers_per_hr,expected_passengers_per_hr
2026-01-04T20:00,weekend,Sri Petaling,clear,,0,622
2026-01-04T21:00,weekend,Sri Petaling,clear,,0,648
2026-01-04T22:00,weekend,Kelana Jaya,clear,,0,639
2026-01-04T23:00,weekend,Kelana Jaya,clear,,0,555
2026-01-05T00:00,weekday,Kelana Jaya,clear,,0,808
2026-01-05T01:00,weekday,Sri Petaling,cloudy,Coldplay Concert,4870,5799
2026-01-05T02:00,weekday,Sri Petaling,clear,Public Holiday,3385,4228
2026-01-05T03:00,weekday,Kelana Jaya,cloudy,Public Holiday,4682,5658
2026-01-05T04:00,weekday,Ampang,clear,,0,759
2026-01-05T05:00,weekday,Ampang,clear,,0,861
2026-01-05T06:00,weekday,Sri Petaling,cloudy,,0,2577
2026-01-05T07:00,weekday,Kelana Jaya,clear,,0,5310
2026-01-05T08:00,weekday,Kelana Jaya,cloudy,,0,5153
2026-01-05T09:00,weekday,Sri Petaling,cloudy,,0,2522
2026-01-05T10:00,weekday,Kelana Jaya,clear,,0,2304
2026-01-05T11:00,weekday,Ampang,clear,,0,2658
2026-01-05T12:00,weekday,Ampang,cloudy,,0,2515
2026-01-05T13:00,weekday,Kelana Jaya,clear,Football Match,2632,4955
2026-01-05T14:00,weekday,Ampang,clear,,0,2504
2026-01-05T15:00,weekday,Sri Petaling,stormy,,0,1584
2026-01-05T16:00,weekday,Kelana Jaya,clear,,0,2741
2026-01-05T17:00,weekday,Kelana Jaya,clear,,0,4845
2026-01-05T18:00,weekday,Ampang,clear,,0,5011
2026-01-05T19:00,weekday,Sri Petaling,cloudy,,0,2158
2026-01-05T20:00,weekday,Kelana Jaya,cloudy,,0,2520
2026-01-05T21:00,weekday,Sri Petaling,stormy,,0,1832
2026-01-05T22:00,weekday,Ampang,clear,,0,2724
2026-01-05T23:00,weekday,Sri Petaling,clear,,0,855
2026-01-06T00:00,weekday,Ampang,stormy,,0,578
2026-01-06T01:00,weekday,Ampang,clear,,0,808
2026-01-06T02:00,weekday,Ampang,clear,,0,780
2026-01-06T03:00,weekday,Kelana Jaya,stormy,,0,537
2026-01-06T04:00,weekday,Kelana Jaya,rainy,,0,640
2026-01-06T05:00,weekday,Sri Petaling,rainy,,0,675
2026-01-06T06:00,weekday,Sri Petaling,cloudy,,0,2362
2026-01-06T07:00,weekday,Kelana Jaya,stormy,,0,3348
2026-01-06T08:00,weekday,Sri Petaling,stormy,,0,3215
2026-01-06T09:00,weekday,Sri Petaling,clear,,0,2653
2026-01-06T10:00,weekday,Kelana Jaya,clear,Marathon,3503,6422
2026-01-06T11:00,weekday,Ampang,clear,,0,2564
2026-01-06T12:00,weekday,Sri Petaling,clear,,0,2497
2026-01-06T13:00,weekday,Kelana Jaya,clear,,0,2252
2026-01-06T14:00,weekday,Ampang,clear,,0,2652
2026-01-06T15:00,weekday,Sri Petaling,stormy,,0,1770
2026-01-06T16:00,weekday,Ampang,clear,,0,2482
2026-01-06T17:00,weekday,Sri Petaling,rainy,,0,4632
2026-01-06T18:00,weekday,Sri Petaling,cloudy,,0,5122
2026-01-06T19:00,weekday,Sri Petaling,cloudy,,0,2213
2026-01-06T20:00,weekday,Ampang,cloudy,,0,2254
2026-01-06T21:00,weekday,Ampang,stormy,,0,1757
2026-01-06T22:00,weekday,Kelana Jaya,stormy,,0,1602
2026-01-06T23:00,weekday,Kelana Jaya,clear,,0,771
2026-01-07T00:00,weekday,Kelana Jaya,rainy,,0,643
2026-01-07T01:00,weekday,Kelana Jaya,stormy,,0,511
2026-01-07T02:00,weekday,Ampang,cloudy,,0,747
2026-01-07T03:00,weekday,Ampang,clear,,0,843
2026-01-07T04:00,weekday,Kelana Jaya,stormy,,0,589
2026-01-07T05:00,weekday,Ampang,cloudy,Public Holiday,2223,3017
2026-01-07T06:00,weekday,Sri Petaling,cloudy,,0,2396
2026-01-07T07:00,weekday,Kelana Jaya,rainy,,0,4056
2026-01-07T08:00,weekday,Kelana Jaya,cloudy,,0,4910
2026-01-07T09:00,weekday,Sri Petaling,cloudy,,0,2359
2026-01-07T10:00,weekday,Sri Petaling,clear,,0,2703
2026-01-07T11:00,weekday,Sri Petaling,rainy,,0,1948
2026-01-07T12:00,weekday,Kelana Jaya,cloudy,,0,2223
2026-01-07T13:00,weekday,Ampang,clear,,0,2477
2026-01-07T14:00,weekday,Ampang,clear,,0,2725
2026-01-07T15:00,weekday,Ampang,cloudy,,0,2360
2026-01-07T16:00,weekday,Sri Petaling,stormy,Public Holiday,1918,3185
2026-01-07T17:00,weekday,Kelana Jaya,stormy,,0,3814
2026-01-07T18:00,weekday,Kelana Jaya,clear,,0,4738
2026-01-07T19:00,weekday,Sri Petaling,cloudy,,0,2587
2026-01-07T20:00,weekday,Sri Petaling,cloudy,,0,2312
2026-01-07T21:00,weekday,Sri Petaling,rainy,,0,2217
2026-01-07T22:00,weekday,Ampang,clear,,0,2262
2026-01-07T23:00,weekday,Sri Petaling,clear,,0,873
2026-01-08T00:00,weekday,Sri Petaling,cloudy,,0,773
2026-01-08T01:00,weekday,Kelana Jaya,stormy,,0,590
2026-01-08T02:00,weekday,Sri Petaling,stormy,,0,593
2026-01-08T03:00,weekday,Kelana Jaya,rainy,,0,670
2026-01-08T04:00,weekday,Kelana Jaya,clear,,0,774
2026-01-08T05:00,weekday,Ampang,cloudy,,0,830
2026-01-08T06:00,weekday,Ampang,stormy,,0,1727
2026-01-08T07:00,weekday,Sri Petaling,stormy,,0,3339
2026-01-08T08:00,weekday,Ampang,rainy,,0,4526
2026-01-08T09:00,weekday,Ampang,rainy,,0,2016
2026-01-08T10:00,weekday,Ampang,clear,,0,2371
2026-01-08T11:00,weekday,Sri Petaling,cloudy,,0,2317
2026-01-08T12:00,weekday,Ampang,clear,,0,2340
2026-01-08T13:00,weekday,Ampang,clear,,0,2420
2026-01-08T14:00,weekday,Sri Petaling,rainy,,0,2148
2026-01-08T15:00,weekday,Kelana Jaya,rainy,,0,2218
2026-01-08T16:00,weekday,Sri Petaling,cloudy,,0,2465
2026-01-08T17:00,weekday,Sri Petaling,stormy,,0,3705
2026-01-08T18:00,weekday,Ampang,clear,,0,5191
2026-01-08T19:00,weekday,Sri Petaling,clear,,0,2486
2026-01-08T20:00,weekday,Ampang,rainy,,0,2229
2026-01-08T21:00,weekday,Ampang,clear,,0,2385
2026-01-08T22:00,weekday,Kelana Jaya,clear,,0,2346
2026-01-08T23:00,weekday,Sri Petaling,clear,,0,841
2026-01-09T00:00,weekday,Kelana Jaya,clear,,0,797
2026-01-09T01:00,weekday,Sri Petaling,stormy,,0,562
2026-01-09T02:00,weekday,Kelana Jaya,clear,,0,767
2026-01-09T03:00,weekday,Kelana Jaya,clear,,0,833
2026-01-09T04:00,weekday,Ampang,clear,Coldplay Concert,3266,3896
2026-01-09T05:00,weekday,Sri Petaling,clear,,0,798
2026-01-09T06:00,weekday,Sri Petaling,clear,,0,2489
2026-01-09T07:00,weekday,Kelana Jaya,clear,,0,4752
2026-01-09T08:00,weekday,Kelana Jaya,cloudy,,0,4655
2026-01-09T09:00,weekday,Sri Petaling,clear,,0,2276
2026-01-09T10:00,weekday,Sri Petaling,clear,,0,2292
2026-01-09T11:00,weekday,Kelana Jaya,clear,,0,2458
2026-01-09T12:00,weekday,Sri Petaling,rainy,,0,2134
2026-01-09T13:00,weekday,Ampang,cloudy,,0,2417
2026-01-09T14:00,weekday,Ampang,cloudy,,0,2166
2026-01-09T15:00,weekday,Kelana Jaya,stormy,,0,1647
2026-01-09T16:00,weekday,Ampang,clear,,0,2328
2026-01-09T17:00,weekday,Sri Petaling,clear,Coldplay Concert,2673,7597
2026-01-09T18:00,weekday,Ampang,rainy,,0,4021
2026-01-09T19:00,weekday,Ampang,stormy,,0,1733
2026-01-09T20:00,weekday,Kelana Jaya,stormy,,0,1850
2026-01-09T21:00,weekday,Sri Petaling,stormy,,0,1901
2026-01-09T22:00,weekday,Kelana Jaya,cloudy,,0,2445
2026-01-09T23:00,weekday,Kelana Jaya,clear,Football Match,4246,4851
2026-01-10T00:00,weekend,Sri Petaling,stormy,,0,414
2026-01-10T01:00,weekend,Sri Petaling,cloudy,,0,558
2026-01-10T02:00,weekend,Sri Petaling,clear,,0,592
2026-01-10T03:00,weekend,Kelana Jaya,rainy,,0,533
2026-01-10T04:00,weekend,Ampang,rainy,Football Match,4939,4872
2026-01-10T05:00,weekend,Sri Petaling,rainy,,0,560
2026-01-10T06:00,weekend,Ampang,stormy,,0,442
2026-01-10T07:00,weekend,Ampang,clear,,0,593
2026-01-10T08:00,weekend,Kelana Jaya,clear,,0,592
2026-01-10T09:00,weekend,Kelana Jaya,cloudy,,0,559
2026-01-10T10:00,weekend,Sri Petaling,clear,,0,559
2026-01-10T11:00,weekend,Sri Petaling,cloudy,,0,1961
2026-01-10T12:00,weekend,Sri Petaling,cloudy,Coldplay Concert,2288,3871
2026-01-10T13:00,weekend,Ampang,clear,,0,2129
2026-01-10T14:00,weekend,Sri Petaling,clear,,0,1984
2026-01-10T15:00,weekend,Kelana Jaya,clear,,0,2049
2026-01-10T16:00,weekend,Sri Petaling,cloudy,,0,1729
2026-01-10T17:00,weekend,Sri Petaling,clear,,0,1915
2026-01-10T18:00,weekend,Ampang,stormy,,0,1532
2026-01-10T19:00,weekend,Kelana Jaya,rainy,,0,1635
2026-01-10T20:00,weekend,Sri Petaling,clear,,0,566
2026-01-10T21:00,weekend,Ampang,clear,,0,617
2026-01-10T22:00,weekend,Ampang,clear,,0,575
2026-01-10T23:00,weekend,Ampang,stormy,,0,418
2026-01-11T00:00,weekend,Kelana Jaya,cloudy,,0,529
2026-01-11T01:00,weekend,Sri Petaling,clear,,0,645
2026-01-11T02:00,weekend,Ampang,clear,,0,642
2026-01-11T03:00,weekend,Sri Petaling,clear,,0,540
2026-01-11T04:00,weekend,Ampang,stormy,,0,426
2026-01-11T05:00,weekend,Ampang,stormy,,0,415
2026-01-11T06:00,weekend,Ampang,cloudy,,0,599
2026-01-11T07:00,weekend,Ampang,cloudy,,0,612
2026-01-11T08:00,weekend,Kelana Jaya,stormy,,0,397
2026-01-11T09:00,weekend,Kelana Jaya,cloudy,,0,566
2026-01-11T10:00,weekend,Ampang,cloudy,,0,603
2026-01-11T11:00,weekend,Kelana Jaya,stormy,,0,1270
2026-01-11T12:00,weekend,Sri Petaling,rainy,,0,1564
2026-01-11T13:00,weekend,Kelana Jaya,cloudy,,0,1883
2026-01-11T14:00,weekend,Kelana Jaya,stormy,,0,1443
2026-01-11T15:00,weekend,Kelana Jaya,clear,,0,2187
2026-01-11T16:00,weekend,Sri Petaling,clear,,0,2059
2026-01-11T17:00,weekend,Sri Petaling,clear,,0,1952
2026-01-11T18:00,weekend,Sri Petaling,clear,,0,2103
2026-01-11T19:00,weekend,Kelana Jaya,rainy,,0,1609
2026-01-11T20:00,weekend,Ampang,stormy,,0,440
2026-01-11T21:00,weekend,Kelana Jaya,cloudy,,0,593
2026-01-11T22:00,weekend,Ampang,clear,,0,575
2026-01-11T23:00,weekend,Kelana Jaya,clear,,0,546
2026-01-12T00:00,weekday,Ampang,clear,,0,759
2026-01-12T01:00,weekday,Sri Petaling,cloudy,,0,711
2026-01-12T02:00,weekday,Kelana Jaya,clear,,0,781
2026-01-12T03:00,weekday,Kelana Jaya,stormy,,0,569
2026-01-12T04:00,weekday,Ampang,clear,,0,793
2026-01-12T05:00,weekday,Kelana Jaya,stormy,,0,556
2026-01-12T06:00,weekday,Sri Petaling,clear,,0,2286
2026-01-12T07:00,weekday,Sri Petaling,clear,,0,5462
2026-01-12T08:00,weekday,Ampang,stormy,,0,3361
2026-01-12T09:00,weekday,Ampang,cloudy,,0,2318
2026-01-12T10:00,weekday,Sri Petaling,clear,,0,2599
2026-01-12T11:00,weekday,Sri Petaling,clear,,0,2254
2026-01-12T12:00,weekday,Sri Petaling,stormy,,0,1893
2026-01-12T13:00,weekday,Ampang,stormy,,0,1891
2026-01-12T14:00,weekday,Sri Petaling,clear,,0,2359
2026-01-12T15:00,weekday,Sri Petaling,clear,,0,2627
2026-01-12T16:00,weekday,Sri Petaling,stormy,,0,1794
2026-01-12T17:00,weekday,Sri Petaling,stormy,Marathon,1136,4363
2026-01-12T18:00,weekday,Kelana Jaya,stormy,,0,3356
2026-01-12T19:00,weekday,Ampang,stormy,,0,1621
2026-01-12T20:00,weekday,Ampang,rainy,,0,2300
2026-01-12T21:00,weekday,Ampang,clear,,0,2722
2026-01-12T22:00,weekday,Sri Petaling,clear,,0,2652
2026-01-12T23:00,weekday,Kelana Jaya,cloudy,,0,830
2026-01-13T00:00,weekday,Sri Petaling,stormy,,0,548
2026-01-13T01:00,weekday,Ampang,rainy,,0,665
2026-01-13T02:00,weekday,Sri Petaling,clear,,0,778
2026-01-13T03:00,weekday,Sri Petaling,stormy,,0,546
2026-01-13T04:00,weekday,Ampang,stormy,,0,530
2026-01-13T05:00,weekday,Sri Petaling,clear,,0,809
2026-01-13T06:00,weekday,Kelana Jaya,rainy,,0,2182
2026-01-13T07:00,weekday,Sri Petaling,cloudy,,0,4662
2026-01-13T08:00,weekday,Kelana Jaya,clear,,0,4804
2026-01-13T09:00,weekday,Kelana Jaya,cloudy,,0,2558
2026-01-13T10:00,weekday,Ampang,clear,,0,2585
2026-01-13T11:00,weekday,Sri Petaling,stormy,,0,1721
2026-01-13T12:00,weekday,Sri Petaling,stormy,,0,1720
2026-01-13T13:00,weekday,Ampang,clear,,0,2719
2026-01-13T14:00,weekday,Kelana Jaya,clear,,0,2358
2026-01-13T15:00,weekday,Kelana Jaya,cloudy,,0,2184
2026-01-13T16:00,weekday,Ampang,stormy,,0,1917
2026-01-13T17:00,weekday,Kelana Jaya,clear,,0,4689
2026-01-13T18:00,weekday,Ampang,clear,,0,4712
2026-01-13T19:00,weekday,Sri Petaling,stormy,,0,1592
2026-01-13T20:00,weekday,Kelana Jaya,clear,,0,2643
2026-01-13T21:00,weekday,Kelana Jaya,clear,,0,2527
2026-01-13T22:00,weekday,Kelana Jaya,rainy,,0,2011
2026-01-13T23:00,weekday,Sri Petaling,clear,Football Match,1532,2350
2026-01-14T00:00,weekday,Kelana Jaya,clear,,0,724
2026-01-14T01:00,weekday,Ampang,clear,,0,758
2026-01-14T02:00,weekday,Kelana Jaya,clear,,0,728
2026-01-14T03:00,weekday,Ampang,stormy,,0,587
2026-01-14T04:00,weekday,Ampang,cloudy,,0,762
2026-01-14T05:00,weekday,Ampang,clear,,0,871
2026-01-14T06:00,weekday,Sri Petaling,clear,,0,2683
2026-01-14T07:00,weekday,Ampang,rainy,,0,4644
2026-01-14T08:00,weekday,Ampang,clear,,0,4926
2026-01-14T09:00,weekday,Ampang,clear,,0,2471
2026-01-14T10:00,weekday,Ampang,clear,,0,2282
2026-01-14T11:00,weekday,Sri Petaling,clear,,0,2524
2026-01-14T12:00,weekday,Ampang,clear,,0,2515
2026-01-14T13:00,weekday,Sri Petaling,cloudy,,0,2184
2026-01-14T14:00,weekday,Kelana Jaya,stormy,,0,1802
2026-01-14T15:00,weekday,Sri Petaling,rainy,,0,2095
2026-01-14T16:00,weekday,Ampang,clear,,0,2476
2026-01-14T17:00,weekday,Sri Petaling,cloudy,,0,4680
2026-01-14T18:00,weekday,Ampang,stormy,,0,3256
2026-01-14T19:00,weekday,Kelana Jaya,cloudy,,0,2178
2026-01-14T20:00,weekday,Kelana Jaya,cloudy,,0,2314
2026-01-14T21:00,weekday,Sri Petaling,clear,Festival,3300,5602
2026-01-14T22:00,weekday,Ampang,clear,,0,2582
2026-01-14T23:00,weekday,Sri Petaling,cloudy,Public Holiday,3459,3894
2026-01-15T00:00,weekday,Sri Petaling,clear,,0,744
2026-01-15T01:00,weekday,Kelana Jaya,cloudy,,0,737
2026-01-15T02:00,weekday,Ampang,rainy,,0,649
2026-01-15T03:00,weekday,Ampang,clear,,0,875
2026-01-15T04:00,weekday,Sri Petaling,rainy,,0,687
2026-01-15T05:00,weekday,Sri Petaling,rainy,,0,648
2026-01-15T06:00,weekday,Ampang,clear,,0,2404
2026-01-15T07:00,weekday,Ampang,clear,Football Match,3319,8580
2026-01-15T08:00,weekday,Kelana Jaya,clear,,0,5471
2026-01-15T09:00,weekday,Sri Petaling,clear,,0,2438
2026-01-15T10:00,weekday,Ampang,cloudy,,0,2285
2026-01-15T11:00,weekday,Sri Petaling,clear,,0,2691
2026-01-15T12:00,weekday,Kelana Jaya,clear,,0,2274
2026-01-15T13:00,weekday,Ampang,clear,,0,2462
2026-01-15T14:00,weekday,Ampang,rainy,,0,2004
2026-01-15T15:00,weekday,Kelana Jaya,rainy,,0,1959
2026-01-15T16:00,weekday,Sri Petaling,stormy,,0,1759
2026-01-15T17:00,weekday,Kelana Jaya,clear,,0,5484
2026-01-15T18:00,weekday,Kelana Jaya,clear,,0,5445
2026-01-15T19:00,weekday,Ampang,clear,,0,2309
2026-01-15T20:00,weekday,Sri Petaling,cloudy,,0,2198
2026-01-15T21:00,weekday,Sri Petaling,rainy,,0,2149
2026-01-15T22:00,weekday,Ampang,stormy,Coldplay Concert,2786,3344
2026-01-15T23:00,weekday,Ampang,clear,,0,811
2026-01-16T00:00,weekday,Sri Petaling,stormy,,0,516
2026-01-16T01:00,weekday,Ampang,clear,,0,871
2026-01-16T02:00,weekday,Sri Petaling,cloudy,,0,697
2026-01-16T03:00,weekday,Kelana Jaya,clear,,0,784
2026-01-16T04:00,weekday,Ampang,clear,,0,839
2026-01-16T05:00,weekday,Ampang,clear,,0,732
2026-01-16T06:00,weekday,Kelana Jaya,stormy,,0,1642
2026-01-16T07:00,weekday,Ampang,clear,,0,5318
2026-01-16T08:00,weekday,Kelana Jaya,clear,,0,4755
2026-01-16T09:00,weekday,Sri Petaling,clear,,0,2629
2026-01-16T10:00,weekday,Kelana Jaya,clear,,0,2563
2026-01-16T11:00,weekday,Sri Petaling,cloudy,,0,2350
2026-01-16T12:00,weekday,Sri Petaling,rainy,,0,2177
2026-01-16T13:00,weekday,Ampang,stormy,,0,1598
2026-01-16T14:00,weekday,Sri Petaling,cloudy,,0,2267
2026-01-16T15:00,weekday,Ampang,clear,,0,2405
2026-01-16T16:00,weekday,Kelana Jaya,cloudy,Public Holiday,1314,3728
2026-01-16T17:00,weekday,Sri Petaling,clear,,0,4884
2026-01-16T18:00,weekday,Sri Petaling,rainy,,0,4453
2026-01-16T19:00,weekday,Ampang,clear,,0,2535
2026-01-16T20:00,weekday,Ampang,clear,,0,2500
2026-01-16T21:00,weekday,Ampang,clear,,0,2699
2026-01-16T22:00,weekday,Sri Petaling,clear,,0,2573
2026-01-16T23:00,weekday,Kelana Jaya,clear,,0,878
2026-01-17T00:00,weekend,Sri Petaling,rainy,,0,496
2026-01-17T01:00,weekend,Ampang,clear,,0,580
2026-01-17T02:00,weekend,Kelana Jaya,rainy,,0,525
2026-01-17T03:00,weekend,Ampang,clear,,0,621
2026-01-17T04:00,weekend,Ampang,clear,,0,618
2026-01-17T05:00,weekend,Kelana Jaya,rainy,,0,518
2026-01-17T06:00,weekend,Ampang,clear,,0,618
2026-01-17T07:00,weekend,Ampang,stormy,,0,437
2026-01-17T08:00,weekend,Ampang,clear,,0,617
2026-01-17T09:00,weekend,Kelana Jaya,clear,,0,639
2026-01-17T10:00,weekend,Sri Petaling,stormy,,0,385
2026-01-17T11:00,weekend,Ampang,stormy,,0,1265
2026-01-17T12:00,weekend,Kelana Jaya,clear,,0,1936
2026-01-17T13:00,weekend,Kelana Jaya,cloudy,,0,1762
2026-01-17T14:00,weekend,Ampang,clear,,0,1840
2026-01-17T15:00,weekend,Sri Petaling,rainy,,0,1542
2026-01-17T16:00,weekend,Sri Petaling,clear,,0,1950
2026-01-17T17:00,weekend,Kelana Jaya,clear,,0,2108
2026-01-17T18:00,weekend,Sri Petaling,clear,,0,1964
2026-01-17T19:00,weekend,Sri Petaling,stormy,,0,1384
2026-01-17T20:00,weekend,Sri Petaling,clear,,0,568
2026-01-17T21:00,weekend,Ampang,clear,,0,634
2026-01-17T22:00,weekend,Ampang,clear,,0,608
2026-01-17T23:00,weekend,Ampang,cloudy,,0,601
2026-01-18T00:00,weekend,Sri Petaling,rainy,,0,475
2026-01-18T01:00,weekend,Sri Petaling,clear,,0,570
2026-01-18T02:00,weekend,Ampang,stormy,,0,424
2026-01-18T03:00,weekend,Sri Petaling,clear,,0,642
2026-01-18T04:00,weekend,Kelana Jaya,clear,,0,572
2026-01-18T05:00,weekend,Kelana Jaya,rainy,,0,468
2026-01-18T06:00,weekend,Ampang,clear,,0,651
2026-01-18T07:00,weekend,Kelana Jaya,cloudy,,0,555
2026-01-18T08:00,weekend,Kelana Jaya,cloudy,,0,516
2026-01-18T09:00,weekend,Sri Petaling,clear,,0,634
2026-01-18T10:00,weekend,Kelana Jaya,clear,,0,639
2026-01-18T11:00,weekend,Kelana Jaya,stormy,,0,1391
2026-01-18T12:00,weekend,Kelana Jaya,rainy,,0,1536
2026-01-18T13:00,weekend,Kelana Jaya,clear,,0,2090
2026-01-18T14:00,weekend,Ampang,rainy,,0,1627
2026-01-18T15:00,weekend,Kelana Jaya,clear,Marathon,3617,5947
2026-01-18T16:00,weekend,Kelana Jaya,cloudy,,0,2053
2026-01-18T17:00,weekend,Sri Petaling,rainy,Festival,3355,4316
2026-01-18T18:00,weekend,Ampang,clear,,0,2045
2026-01-18T19:00,weekend,Sri Petaling,clear,,0,2065
2026-01-18T20:00,weekend,Sri Petaling,clear,,0,548
2026-01-18T21:00,weekend,Sri Petaling,rainy,,0,559
2026-01-18T22:00,weekend,Kelana Jaya,rainy,,0,506
2026-01-18T23:00,weekend,Ampang,stormy,,0,399
2026-01-19T00:00,weekday,Ampang,clear,,0,775
2026-01-19T01:00,weekday,Sri Petaling,stormy,,0,590
2026-01-19T02:00,weekday,Ampang,stormy,,0,543
2026-01-19T03:00,weekday,Sri Petaling,clear,,0,844
2026-01-19T04:00,weekday,Sri Petaling,cloudy,,0,711
2026-01-19T05:00,weekday,Kelana Jaya,clear,,0,870
2026-01-19T06:00,weekday,Ampang,clear,,0,2645
2026-01-19T07:00,weekday,Ampang,clear,,0,5015
2026-01-19T08:00,weekday,Ampang,rainy,,0,4465
